lambda,mu,theta,p,gamma,regime,target_aband_eps,c_sim_argmin,abandon_sim_at_c,c_fluid_lower_bound,c_diffusion
80.0,0.5,1.0,0.5,0.5,UL,0.01,265.0,0.01,240.0,259.24
80.0,0.5,1.0,0.5,0.5,UL,0.05,242.0,0.05,240.0,234.67
80.0,0.5,1.0,0.5,0.5,OL,0.1,227.0,0.1,216.0,218.12
80.0,0.5,1.0,0.5,0.5,OL,0.25,186.0,0.25,180.0,180.04
80.0,0.5,1.0,0.5,0.5,OL,0.5,140.0,0.44,120.0,120.0
80.0,1.0,0.5,0.5,0.5,UL,0.01,180.0,0.01,160.0,170.5
80.0,1.0,0.5,0.5,0.5,UL,0.05,164.0,0.05,160.0,155.19
80.0,1.0,0.5,0.5,0.5,OL,0.1,155.0,0.1,144.0,144.8
80.0,1.0,0.5,0.5,0.5,OL,0.25,129.0,0.24,120.0,120.0
80.0,1.0,0.5,0.5,0.5,OL,0.5,85.0,0.5,80.0,80.0
80.0,1.0,1.0,0.1,0.5,UL,0.01,108.0,0.01,96.0,106.7
80.0,1.0,1.0,0.1,0.5,UL,0.05,97.0,0.05,96.0,95.16
80.0,1.0,1.0,0.1,0.5,OL,0.1,90.0,0.09,86.4,87.85
80.0,1.0,1.0,0.1,0.5,OL,0.25,75.0,0.23,72.0,72.05
80.0,1.0,1.0,0.1,0.5,OL,0.5,49.0,0.5,48.0,48.0
80.0,1.0,1.0,0.5,0.1,UL,0.01,551.0,0.01,480.0,540.71
80.0,1.0,1.0,0.5,0.1,UL,0.05,513.0,0.05,480.0,479.07
80.0,1.0,1.0,0.5,0.1,OL,0.1,479.0,0.1,432.0,440.82
80.0,1.0,1.0,0.5,0.1,OL,0.25,398.0,0.25,360.0,360.4
80.0,1.0,1.0,0.5,0.1,OL,0.5,380.0,0.29,240.0,240.0
80.0,1.0,1.0,0.5,0.5,UL,0.01,184.0,0.01,160.0,177.22
80.0,1.0,1.0,0.5,0.5,UL,0.05,167.0,0.05,160.0,158.33
80.0,1.0,1.0,0.5,0.5,OL,0.1,156.0,0.09,144.0,146.28
80.0,1.0,1.0,0.5,0.5,OL,0.25,128.0,0.25,120.0,120.08
80.0,1.0,1.0,0.5,0.5,OL,0.5,85.0,0.5,80.0,80.0
80.0,1.0,1.0,0.5,1.0,UL,0.01,136.0,0.01,120.0,132.17
80.0,1.0,1.0,0.5,1.0,UL,0.05,123.0,0.05,120.0,118.42
80.0,1.0,1.0,0.5,1.0,OL,0.1,114.0,0.1,108.0,109.55
80.0,1.0,1.0,0.5,1.0,OL,0.25,95.0,0.24,90.0,90.05
80.0,1.0,1.0,0.5,1.0,OL,0.5,63.0,0.5,60.0,60.0
80.0,1.0,1.0,0.5,10.0,UL,0.01,94.0,0.01,84.0,92.73
80.0,1.0,1.0,0.5,10.0,UL,0.05,84.0,0.04,84.0,82.99
80.0,1.0,1.0,0.5,10.0,OL,0.1,77.0,0.1,75.6,76.73
80.0,1.0,1.0,0.5,10.0,OL,0.25,64.0,0.24,63.0,63.04
80.0,1.0,1.0,0.5,10.0,OL,0.5,43.0,0.49,42.0,42.0
80.0,1.0,1.0,0.8,0.5,UL,0.01,238.0,0.01,208.0,228.82
80.0,1.0,1.0,0.8,0.5,UL,0.05,218.0,0.05,208.0,205.15
80.0,1.0,1.0,0.8,0.5,OL,0.1,204.0,0.1,187.2,189.84
80.0,1.0,1.0,0.8,0.5,OL,0.25,169.0,0.25,156.0,156.08
80.0,1.0,1.0,0.8,0.5,OL,0.5,113.0,0.5,104.0,104.0
80.0,1.0,2.0,0.5,0.5,UL,0.01,185.0,0.01,160.0,180.4
80.0,1.0,2.0,0.5,0.5,UL,0.05,167.0,0.05,160.0,160.47
80.0,1.0,2.0,0.5,0.5,OL,0.1,158.0,0.09,144.0,147.62
80.0,1.0,2.0,0.5,0.5,OL,0.25,129.0,0.24,120.0,120.3
80.0,1.0,2.0,0.5,0.5,OL,0.5,86.0,0.49,80.0,80.0
80.0,10.0,1.0,0.5,0.5,UL,0.01,110.0,0.01,88.0,98.98
80.0,10.0,1.0,0.5,0.5,UL,0.05,99.0,0.03,88.0,87.76
80.0,10.0,1.0,0.5,0.5,UL,0.1,91.0,0.09,88.0,80.78
80.0,10.0,1.0,0.5,0.5,OL,0.25,74.0,0.25,66.0,66.07
80.0,10.0,1.0,0.5,0.5,OL,0.5,50.0,0.5,44.0,44.0
100.0,0.5,1.0,0.5,0.5,UL,0.01,328.0,0.01,300.0,320.04
100.0,0.5,1.0,0.5,0.5,OL,0.05,299.0,0.05,285.0,291.47
100.0,0.5,1.0,0.5,0.5,OL,0.1,283.0,0.09,270.0,271.8
100.0,0.5,1.0,0.5,0.5,OL,0.25,236.0,0.24,225.0,225.02
100.0,0.5,1.0,0.5,0.5,OL,0.5,200.0,0.36,150.0,150.0
100.0,1.0,0.5,0.5,0.5,UL,0.01,224.0,0.01,200.0,210.78
100.0,1.0,0.5,0.5,0.5,UL,0.05,206.0,0.05,200.0,193.02
100.0,1.0,0.5,0.5,0.5,OL,0.1,193.0,0.1,180.0,180.64
100.0,1.0,0.5,0.5,0.5,OL,0.25,161.0,0.24,150.0,150.0
100.0,1.0,0.5,0.5,0.5,OL,0.5,106.0,0.5,100.0,100.0
100.0,1.0,1.0,0.1,0.5,UL,0.01,133.0,0.01,120.0,131.22
100.0,1.0,1.0,0.1,0.5,UL,0.05,120.0,0.05,120.0,117.91
100.0,1.0,1.0,0.1,0.5,OL,0.1,112.0,0.09,108.0,109.28
100.0,1.0,1.0,0.1,0.5,OL,0.25,92.0,0.25,90.0,90.03
100.0,1.0,1.0,0.1,0.5,OL,0.5,62.0,0.49,60.0,60.0
100.0,1.0,1.0,0.5,0.1,UL,0.01,678.0,0.01,600.0,663.78
100.0,1.0,1.0,0.5,0.1,UL,0.05,639.0,0.05,600.0,592.88
100.0,1.0,1.0,0.5,0.1,OL,0.1,599.0,0.1,540.0,547.93
100.0,1.0,1.0,0.5,0.1,OL,0.25,500.0,0.25,450.0,450.22
100.0,1.0,1.0,0.5,0.1,OL,0.5,500.0,0.25,300.0,300.0
100.0,1.0,1.0,0.5,0.5,UL,0.01,226.0,0.01,200.0,218.05
100.0,1.0,1.0,0.5,0.5,UL,0.05,206.0,0.05,200.0,196.24
100.0,1.0,1.0,0.5,0.5,OL,0.1,194.0,0.1,180.0,182.01
100.0,1.0,1.0,0.5,0.5,OL,0.25,161.0,0.24,150.0,150.04
100.0,1.0,1.0,0.5,0.5,OL,0.5,107.0,0.5,100.0,100.0
100.0,1.0,1.0,0.5,1.0,UL,0.01,167.0,0.01,150.0,162.74
100.0,1.0,1.0,0.5,1.0,UL,0.05,153.0,0.04,150.0,146.84
100.0,1.0,1.0,0.5,1.0,OL,0.1,143.0,0.1,135.0,136.36
100.0,1.0,1.0,0.5,1.0,OL,0.25,117.0,0.24,112.5,112.52
100.0,1.0,1.0,0.5,1.0,OL,0.5,79.0,0.5,75.0,75.0
100.0,1.0,1.0,0.5,10.0,UL,0.01,116.0,0.01,105.0,114.15
100.0,1.0,1.0,0.5,10.0,OL,0.05,104.0,0.04,99.75,102.89
100.0,1.0,1.0,0.5,10.0,OL,0.1,96.0,0.1,94.5,95.49
100.0,1.0,1.0,0.5,10.0,OL,0.25,80.0,0.24,78.75,78.77
100.0,1.0,1.0,0.5,10.0,OL,0.5,53.0,0.5,52.5,52.5
100.0,1.0,1.0,0.8,0.5,UL,0.01,294.0,0.01,260.0,281.8
100.0,1.0,1.0,0.8,0.5,UL,0.05,273.0,0.04,260.0,254.41
100.0,1.0,1.0,0.8,0.5,OL,0.1,255.0,0.1,234.0,236.31
100.0,1.0,1.0,0.8,0.5,OL,0.25,211.0,0.25,195.0,195.04
100.0,1.0,1.0,0.8,0.5,OL,0.5,160.0,0.43,130.0,130.0
100.0,1.0,2.0,0.5,0.5,UL,0.01,229.0,0.01,200.0,221.67
100.0,1.0,2.0,0.5,0.5,UL,0.05,209.0,0.05,200.0,198.5
100.0,1.0,2.0,0.5,0.5,OL,0.1,193.0,0.1,180.0,183.33
100.0,1.0,2.0,0.5,0.5,OL,0.25,161.0,0.24,150.0,150.19
100.0,1.0,2.0,0.5,0.5,OL,0.5,107.0,0.49,100.0,100.0
100.0,10.0,1.0,0.5,0.5,UL,0.01,134.0,0.01,110.0,121.53
100.0,10.0,1.0,0.5,0.5,UL,0.05,121.0,0.05,110.0,108.62
100.0,10.0,1.0,0.5,0.5,UL,0.1,113.0,0.09,110.0,100.42
100.0,10.0,1.0,0.5,0.5,OL,0.25,93.0,0.25,82.5,82.54
100.0,10.0,1.0,0.5,0.5,OL,0.5,62.0,0.5,55.0,55.0
120.0,0.5,1.0,0.5,0.5,UL,0.01,390.0,0.01,360.0,380.6
120.0,0.5,1.0,0.5,0.5,OL,0.05,359.0,0.05,342.0,348.25
120.0,0.5,1.0,0.5,0.5,OL,0.1,338.0,0.1,324.0,325.53
120.0,0.5,1.0,0.5,0.5,OL,0.25,281.0,0.25,270.0,270.01
120.0,0.5,1.0,0.5,0.5,OL,0.5,260.0,0.31,180.0,180.0
120.0,1.0,0.5,0.5,0.5,UL,0.01,265.0,0.01,240.0,250.93
120.0,1.0,0.5,0.5,0.5,UL,0.05,246.0,0.05,240.0,230.86
120.0,1.0,0.5,0.5,0.5,OL,0.1,231.0,0.1,216.0,216.51
120.0,1.0,0.5,0.5,0.5,OL,0.25,193.0,0.24,180.0,180.0
120.0,1.0,0.5,0.5,0.5,OL,0.5,140.0,0.45,120.0,120.0
120.0,1.0,1.0,0.1,0.5,UL,0.01,158.0,0.01,144.0,155.62
120.0,1.0,1.0,0.1,0.5,UL,0.05,144.0,0.05,144.0,140.63
120.0,1.0,1.0,0.1,0.5,OL,0.1,134.0,0.1,129.6,130.74
120.0,1.0,1.0,0.1,0.5,OL,0.25,110.0,0.25,108.0,108.01
120.0,1.0,1.0,0.1,0.5,OL,0.5,74.0,0.5,72.0,72.0
120.0,1.0,1.0,0.5,0.1,UL,0.01,814.0,0.01,720.0,786.16
120.0,1.0,1.0,0.5,0.1,UL,0.05,764.0,0.05,720.0,706.55
120.0,1.0,1.0,0.5,0.1,OL,0.1,715.0,0.1,648.0,655.14
120.0,1.0,1.0,0.5,0.1,OL,0.25,620.0,0.22,540.0,540.12
120.0,1.0,1.0,0.5,0.1,OL,0.5,620.0,0.22,360.0,360.0
120.0,1.0,1.0,0.5,0.5,UL,0.01,268.0,0.01,240.0,258.67
120.0,1.0,1.0,0.5,0.5,UL,0.05,249.0,0.04,240.0,234.11
120.0,1.0,1.0,0.5,0.5,OL,0.1,232.0,0.1,216.0,217.78
120.0,1.0,1.0,0.5,0.5,OL,0.25,193.0,0.24,180.0,180.02
120.0,1.0,1.0,0.5,0.5,OL,0.5,140.0,0.45,120.0,120.0
120.0,1.0,1.0,0.5,1.0,UL,0.01,198.0,0.01,180.0,193.16
120.0,1.0,1.0,0.5,1.0,UL,0.05,182.0,0.05,180.0,175.24
120.0,1.0,1.0,0.5,1.0,OL,0.1,170.0,0.1,162.0,163.19
120.0,1.0,1.0,0.5,1.0,OL,0.25,141.0,0.25,135.0,135.01
120.0,1.0,1.0,0.5,1.0,OL,0.5,94.0,0.5,90.0,90.0
120.0,1.0,1.0,0.5,10.0,UL,0.01,136.0,0.01,126.0,135.46
120.0,1.0,1.0,0.5,10.0,OL,0.05,124.0,0.05,119.7,122.77
120.0,1.0,1.0,0.5,10.0,OL,0.1,115.0,0.1,113.4,114.27
120.0,1.0,1.0,0.5,10.0,OL,0.25,95.0,0.25,94.5,94.51
120.0,1.0,1.0,0.5,10.0,OL,0.5,63.0,0.5,63.0,63.0
120.0,1.0,1.0,0.8,0.5,UL,0.01,351.0,0.01,312.0,334.52
120.0,1.0,1.0,0.8,0.5,UL,0.05,325.0,0.05,312.0,303.63
120.0,1.0,1.0,0.8,0.5,OL,0.1,306.0,0.1,280.8,282.82
120.0,1.0,1.0,0.8,0.5,OL,0.25,253.0,0.24,234.0,234.02
120.0,1.0,1.0,0.8,0.5,OL,0.5,212.0,0.37,156.0,156.0
120.0,1.0,2.0,0.5,0.5,UL,0.01,273.0,0.01,240.0,262.66
120.0,1.0,2.0,0.5,0.5,UL,0.05,249.0,0.05,240.0,236.46
120.0,1.0,2.0,0.5,0.5,OL,0.1,233.0,0.1,216.0,219.05
120.0,1.0,2.0,0.5,0.5,OL,0.25,192.0,0.25,180.0,180.12
120.0,1.0,2.0,0.5,0.5,OL,0.5,140.0,0.45,120.0,120.0
120.0,10.0,1.0,0.5,0.5,UL,0.01,159.0,0.01,132.0,143.96
120.0,10.0,1.0,0.5,0.5,UL,0.05,143.0,0.05,132.0,129.46
120.0,10.0,1.0,0.5,0.5,UL,0.1,134.0,0.1,132.0,120.08
120.0,10.0,1.0,0.5,0.5,OL,0.25,111.0,0.25,99.0,99.02
120.0,10.0,1.0,0.5,0.5,OL,0.5,74.0,0.5,66.0,66.0
